epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,460.316,1.5678,2.86227,1.02889,0.97387,0.5,0.73111,0.24965,2.16793,2.70629,1.22055,0.0014456,0.0014456,0.0014456
44,471.031,1.54337,2.2651,1.02299,0.97879,0.5,0.77,0.25286,2.10094,2.56541,1.2003,0.0014324,0.0014324,0.0014324
45,481.759,1.60366,2.72613,1.06234,0.74609,0.73828,0.895,0.27045,1.99568,2.61263,1.15072,0.0014192,0.0014192,0.0014192
46,492.398,1.56008,2.36405,1.07381,0.97871,0.5,0.82833,0.2928,1.79885,2.41569,1.04101,0.001406,0.001406,0.001406
47,503.09,1.6062,2.89225,1.01693,0.97871,0.5,0.82833,0.2928,1.79885,2.41569,1.04101,0.0013928,0.0013928,0.0013928
48,513.99,1.68181,2.72359,1.07778,0.97724,0.5,0.78071,0.26232,1.773,2.47349,1.03432,0.0013796,0.0013796,0.0013796
49,524.877,1.32283,2.19859,0.9698,0.2959,0.5,0.36625,0.18252,1.85816,2.37665,1.0805,0.0013664,0.0013664,0.0013664
50,535.826,1.42931,2.3582,0.99452,0.47763,0.69408,0.42012,0.19765,1.91105,2.18351,1.08912,0.0013532,0.0013532,0.0013532
51,546.677,1.5989,2.99254,1.06956,0.47763,0.69408,0.42012,0.19765,1.91105,2.18351,1.08912,0.00134,0.00134,0.00134
52,557.387,1.43,2.03793,1.03124,0.65662,0.96233,0.84917,0.25292,1.94872,2.32064,1.08817,0.0013268,0.0013268,0.0013268
53,568.273,1.31039,2.07013,0.95213,1,0.73794,0.91167,0.4385,1.63787,2.07318,0.98632,0.0013136,0.0013136,0.0013136
54,578.996,1.404,2.08231,1.01347,1,0.74347,0.91167,0.43973,1.52938,1.99894,0.96237,0.0013004,0.0013004,0.0013004
55,589.75,1.36368,2.03107,0.9625,1,0.74347,0.91167,0.43973,1.52938,1.99894,0.96237,0.0012872,0.0012872,0.0012872
56,600.459,1.30417,2.061,0.97479,1,0.73531,0.91167,0.27294,1.7421,2.1194,1.03737,0.001274,0.001274,0.001274
57,611.301,1.43402,2.14552,1.01847,1,0.73841,0.91167,0.27433,1.87441,1.99306,1.08031,0.0012608,0.0012608,0.0012608
58,621.913,1.37191,1.99458,0.99848,0.99892,0.75,0.91167,0.38475,1.88213,1.71764,1.08562,0.0012476,0.0012476,0.0012476
59,632.545,1.3025,1.79977,1.00295,0.99892,0.75,0.91167,0.38475,1.88213,1.71764,1.08562,0.0012344,0.0012344,0.0012344
60,643.091,1.31458,2.04729,0.97016,1,0.74952,0.91167,0.38033,1.96813,1.656,1.14676,0.0012212,0.0012212,0.0012212
61,653.763,1.34638,1.85277,0.99347,1,0.88846,0.995,0.37633,1.96185,1.85029,1.17751,0.001208,0.001208,0.001208
62,665.126,1.19992,1.72006,0.9452,1,0.93139,0.995,0.35971,1.91675,1.72807,1.15857,0.0011948,0.0011948,0.0011948
63,675.73,1.24255,1.72624,0.91979,1,0.93139,0.995,0.35971,1.91675,1.72807,1.15857,0.0011816,0.0011816,0.0011816
64,686.612,1.34234,1.78041,0.9328,0.73606,0.70817,0.65875,0.28538,2.0528,1.77942,1.22422,0.0011684,0.0011684,0.0011684
65,697.145,1.23137,1.62077,0.91692,0.74316,0.75,0.65875,0.26562,2.16271,1.70706,1.27635,0.0011552,0.0011552,0.0011552
66,707.967,1.28914,1.70084,0.97385,0.74882,0.75,0.68375,0.26725,2.1882,1.61402,1.27723,0.001142,0.001142,0.001142
67,718.467,1.20514,1.86252,0.93214,0.74882,0.75,0.68375,0.26725,2.1882,1.61402,1.27723,0.0011288,0.0011288,0.0011288
68,728.665,1.31526,2.06492,0.92141,0.74467,0.73402,0.64966,0.25585,2.16237,1.75125,1.24751,0.0011156,0.0011156,0.0011156
69,739.145,1.22696,1.68662,0.96591,0.74265,0.72795,0.64966,0.28885,1.98125,1.67902,1.16237,0.0011024,0.0011024,0.0011024
70,749.762,1.28327,1.61138,0.9578,0.64614,0.5,0.405,0.26575,1.9032,1.73021,1.13504,0.0010892,0.0010892,0.0010892
71,760.368,1.31117,1.69551,0.96668,0.64614,0.5,0.405,0.26575,1.9032,1.73021,1.13504,0.001076,0.001076,0.001076
72,771.012,1.18619,1.67691,0.91979,0.6481,0.5,0.39818,0.26505,1.90519,1.71566,1.12487,0.0010628,0.0010628,0.0010628
73,781.746,1.11384,1.3767,0.89225,0.64706,0.5,0.3925,0.26633,1.96361,1.72345,1.13888,0.0010496,0.0010496,0.0010496
74,792.355,1.06329,1.60042,0.94482,0.64271,0.5,0.42375,0.24379,2.11043,1.78211,1.19223,0.0010364,0.0010364,0.0010364
75,802.73,1.12509,1.55651,0.8823,0.64271,0.5,0.42375,0.24379,2.11043,1.78211,1.19223,0.0010232,0.0010232,0.0010232
76,813.216,1.13663,1.61709,0.88019,0.96895,0.75,0.745,0.28974,2.14587,1.79845,1.21967,0.00101,0.00101,0.00101
77,823.748,1.14215,1.57072,0.92711,0.95711,0.75,0.745,0.29056,2.21957,1.8195,1.23955,0.0009968,0.0009968,0.0009968
78,834.389,1.16054,1.5838,0.94898,0.64524,0.5,0.59111,0.24911,2.44393,1.76441,1.31414,0.0009836,0.0009836,0.0009836
79,845.089,1.2416,1.61847,0.91881,0.64524,0.5,0.59111,0.24911,2.44393,1.76441,1.31414,0.0009704,0.0009704,0.0009704
80,855.696,1.11826,1.44367,0.88794,0.97351,0.75,0.945,0.297,2.414,1.71591,1.29864,0.0009572,0.0009572,0.0009572
81,866.505,1.14013,1.45393,0.90859,0.97871,0.75,0.945,0.34813,2.21093,1.76999,1.24358,0.000944,0.000944,0.000944
82,877.147,0.9966,1.40796,0.8786,0.98492,0.75,0.91167,0.32667,2.19235,1.82758,1.24322,0.0009308,0.0009308,0.0009308
83,887.442,1.00309,1.48183,0.91532,0.98492,0.75,0.91167,0.32667,2.19235,1.82758,1.24322,0.0009176,0.0009176,0.0009176
84,897.839,1.02573,1.69447,0.82986,0.98507,0.75,0.91167,0.39708,2.01103,1.69326,1.14497,0.0009044,0.0009044,0.0009044
85,907.998,0.9089,1.46381,0.897,0.98137,0.75,0.945,0.36204,1.8871,1.63218,1.08885,0.0008912,0.0008912,0.0008912
86,918.344,1.01063,1.4857,0.88561,0.77605,1,0.945,0.39309,1.81476,1.47448,1.05942,0.000878,0.000878,0.000878
